19/02/2016-00:05:26
TIME	NETW	INTERFACE	RECV[B/s]	SENT[B/s]
TIME	PROC	PID	NAME	RES[B]	VIRT[B]	CPU[%]
0 PROC 1119 acpid 1732608 4476928 0.0
0 PROC 1125 NetworkManager 13770752 366047232 0.0
0 PROC 1169 polkitd 11018240 302944256 0.0
0 PROC 1196 upstart-file-bridge 2650112 16359424 0.0
0 PROC 1300 kerneloops 2715648 38039552 0.0
0 PROC 1306 kworker/2:1H 0 0 0.0
0 PROC 1307 kworker/5:1H 0 0 0.0
0 PROC 1308 kworker/7:1H 0 0 0.0
0 PROC 1336 kworker/3:1H 0 0 0.0
0 PROC 1347 wpa_supplicant 5677056 31354880 0.0
0 PROC 1688 getty 2203648 16207872 0.0
0 PROC 1703 mdm 8392704 135987200 0.0
0 PROC 1711 mdm 8851456 197976064 0.0
0 PROC 1723 Xorg 96813056 264650752 0.0
0 PROC 1728 nvidia-persistenced 1789952 17465344 0.0
0 PROC 1805 dhclient 5402624 10481664 0.0
0 PROC 1822 bumblebeed 3387392 37101568 0.0
0 PROC 1855 dbus-launch 1884160 25030656 0.0
0 PROC 1856 dbus-daemon 2351104 40058880 0.0
0 PROC 1876 dnsmasq 3244032 31780864 0.0
0 PROC 2015 nmbd 5234688 196050944 0.0
0 PROC 2071 cupsd 6234112 78708736 0.0
0 PROC 2086 kauditd 0 0 0.0
0 PROC 2089 gnome-keyring-daemon 9674752 477351936 0.0
0 PROC 2094 console-kit-daemon 6205440 4298309632 0.0
0 PROC 2165 mate-session 15962112 404176896 0.0
0 PROC 2292 ssh-agent 323584 10878976 0.0
0 PROC 2295 dbus-launch 1998848 25030656 0.0
0 PROC 2296 dbus-daemon 3137536 40759296 0.0
0 PROC 2369 dconf-service 4894720 182587392 0.0
0 PROC 2376 mate-settings-daemon 27496448 1135190016 0.0
0 PROC 2380 marco 27996160 351838208 0.0
0 PROC 2383 mate-panel 41369600 782622720 0.0
0 PROC 2386 gvfsd 5632000 197079040 0.0
0 PROC 2392 gvfsd-fuse 7286784 369082368 0.0
0 PROC 2404 pulseaudio 12169216 445784064 0.0
0 PROC 2406 rtkit-daemon 2514944 172974080 0.0
0 PROC 2409 caja 107937792 1382039552 0.0
0 PROC 2412 gvfs-udisks2-volume-monitor 9760768 314638336 0.0
0 PROC 2415 udisksd 11382784 395522048 0.0
0 PROC 2419 mate-power-manager 21188608 537866240 0.0
0 PROC 2420 mate-volume-control-applet 25563136 553164800 0.0
0 PROC 2421 blueman-applet 45301760 699592704 0.0
0 PROC 2424 applet.py 23875584 221732864 0.0
0 PROC 2425 nm-applet 32579584 652541952 0.0
0 PROC 2435 evolution-alarm-notify 72626176 881455104 0.0
0 PROC 2440 polkit-mate-authentication-agent-1 12165120 224792576 0.0
0 PROC 2442 at-spi-bus-launcher 8101888 376684544 0.0
0 PROC 2443 python2 33705984 357511168 0.0
0 PROC 2449 dbus-daemon 3510272 40194048 0.0
0 PROC 2453 at-spi2-registryd 4984832 127913984 0.0
0 PROC 2454 mate-screensaver 15822848 401776640 0.0
0 PROC 2466 upowerd 9371648 240799744 0.0
0 PROC 2485 gvfsd-trash 9953280 378871808 0.0
0 PROC 2489 gvfs-mtp-volume-monitor 5640192 200798208 0.0
0 PROC 2513 gvfs-gphoto2-volume-monitor 5926912 213254144 0.0
0 PROC 2517 gconfd-2 6455296 55529472 0.0
0 PROC 2524 gvfs-afc-volume-monitor 6283264 288542720 0.0
0 PROC 2559 evolution-source-registry 21057536 1078784000 0.0
0 PROC 2562 wnck-applet 25563136 588922880 0.0
0 PROC 2566 clock-applet 23330816 666398720 0.0
0 PROC 2577 notification-area-applet 14696448 461168640 0.0
0 PROC 2579 obex-data-server 5193728 55214080 0.0
0 PROC 2586 evolution-calendar-factory 56553472 1145987072 0.0
0 PROC 2609 gvfsd-metadata 5677056 123244544 0.0
0 PROC 2612 firefox 822648832 2078588928 0.0
0 PROC 2688 mintupdate-laun 7413760 24825856 0.0
0 PROC 2691 sh 778240 4554752 0.0
0 PROC 2692 mintUpdate 48746496 701124608 0.0
0 PROC 2732 mate-terminal 29687808 681771008 0.0
0 PROC 2736 gnome-pty-helper 1802240 15183872 0.0
0 PROC 12531 kworker/7:1 0 0 0.0
0 PROC 12640 kworker/1:2 0 0 0.0
